2026-03-23 18:46:22 INFO  [MAA] Agent 配置: {"child_exec":"agent/go-service","child_args":[],"timeout":15000} , tcpCompatMode: false
2026-03-23 18:46:23 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 18:46:23 INFO  [MAA] 任务已提交, taskIds: [200000001,200000002,200000003,200000004,200000005,200000006,200000007,200000008,200000009,200000010,200000011]
2026-03-23 18:46:23 INFO  [Task] 实例 配置 1: 任务已提交, task_ids: [200000001,200000002,200000003,200000004,200000005,200000006,200000007,200000008,200000009,200000010,200000011]
2026-03-23 18:46:23 INFO  [Config] 配置保存成功
2026-03-23 18:46:46 INFO  [Task] 任务 1/11 完成
2026-03-23 18:47:42 INFO  [Task] 任务 2/11 完成
2026-03-23 18:47:56 INFO  [Task] 任务 3/11 完成
2026-03-23 18:48:38 INFO  [Task] 停止任务... illekb0
2026-03-23 18:48:38 INFO  [MAA] 停止任务, 实例: illekb0
2026-03-23 18:48:38 INFO  [MAA] 停止任务请求已发送
2026-03-23 18:48:38 INFO  [MAA] 停止 Agent, 实例: illekb0
2026-03-23 18:48:38 INFO  [MAA] 停止 Agent 成功
2026-03-23 18:48:39 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 18:48:39 INFO  [Config] 配置保存成功
2026-03-23 18:48:48 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 18:48:48 INFO  [Config] 配置保存成功
2026-03-23 18:48:50 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 18:48:50 INFO  [Config] 配置保存成功
2026-03-23 18:48:57 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 18:48:57 INFO  [Config] 配置保存成功
2026-03-23 18:49:02 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 18:49:02 INFO  [Config] 配置保存成功
2026-03-23 18:55:20 INFO  [App] 加载 interface.json...
2026-03-23 18:55:20 INFO  [App] Tauri 环境，加载 interface.json
2026-03-23 18:55:20 INFO  [App] basePath (绝对路径): D:\browndust 2\install
